sale_price,sale_date,city,state,lat,lng
64000,2013-01-15,NASHVILLE,TN,36.166242,-86.752057
98000,2013-01-03,NASHVILLE,TN,36.164196,-86.746666
50100,2013-01-30,NASHVILLE,TN,36.164169,-86.746668
65200,2013-01-24,OLD HICKORY,TN,36.261737,-86.653564
217000,2013-01-18,OLD HICKORY,TN,36.246259,-86.634789
85000,2013-01-09,OLD HICKORY,TN,36.239676,-86.626781
144500,2013-01-09,OLD HICKORY,TN,36.221585,-86.632212
375000,2013-01-18,OLD HICKORY,TN,36.236458,-86.623728
77000,2013-01-18,OLD HICKORY,TN,36.219484,-86.622905
115000,2013-01-18,OLD HICKORY,TN,36.083992,-86.717126
109900,2013-01-11,NASHVILLE,TN,36.214543,-86.684823
78600,2013-01-08,HERMITAGE,TN,36.202517,-86.630889
140000,2013-01-23,HERMITAGE,TN,36.196313,-86.631504
47025,2013-01-03,HERMITAGE,TN,36.197902,-86.599958
73500,2013-01-11,NASHVILLE,TN,36.171089,-86.702831
125000,2013-01-18,NASHVILLE,TN,36.173067,-86.687735
86000,2013-01-28,NASHVILLE,TN,36.17163,-86.678372
83500,2013-01-09,HERMITAGE,TN,36.191447,-86.621139
110000,2013-01-15,HERMITAGE,TN,36.192067,-86.619901
104900,2013-01-18,HERMITAGE,TN,36.173855,-86.589843
150000,2013-01-15,HERMITAGE,TN,36.190785,-86.577541
165000,2013-01-09,NASHVILLE,TN,36.167887,-86.682114
147000,2013-01-07,NASHVILLE,TN,36.16562,-86.67391
100000,2013-01-17,NASHVILLE,TN,36.15354,-86.697008
205000,2013-01-30,NASHVILLE,TN,36.163204,-86.666054
95000,2013-01-11,NASHVILLE,TN,36.157463,-86.657921
48000,2013-01-17,NASHVILLE,TN,36.152215,-86.669849
207000,2013-01-18,HERMITAGE,TN,36.155744,-86.586294
89000,2013-01-11,NASHVILLE,TN,36.128306,-86.701802
55000,2013-01-15,NASHVILLE,TN,36.126461,-86.702391
107000,2013-01-29,NASHVILLE,TN,36.146761,-86.640276
107000,2013-01-29,NASHVILLE,TN,36.146624,-86.640336
182000,2013-01-10,NASHVILLE,TN,36.135817,-86.636723
93000,2013-01-07,NASHVILLE,TN,36.128304,-86.636478
81600,2013-01-18,NASHVILLE,TN,36.148021,-86.629308
86500,2013-01-17,NASHVILLE,TN,36.123834,-86.70324
165000,2013-01-25,NASHVILLE,TN,36.120178,-86.709251
120000,2013-01-18,NASHVILLE,TN,36.120132,-86.709146
125000,2013-01-29,NASHVILLE,TN,36.113831,-86.704094
125000,2013-01-18,NASHVILLE,TN,36.093982,-86.626582
152000,2013-01-02,NASHVILLE,TN,36.087379,-86.614388
53300,2013-01-14,NASHVILLE,TN,36.083305,-86.612198
139500,2013-01-28,NASHVILLE,TN,36.08196,-86.636966
123900,2013-01-08,ANTIOCH,TN,36.077021,-86.607517
107000,2013-01-18,ANTIOCH,TN,36.072983,-86.595476
144900,2013-01-07,ANTIOCH,TN,36.055977,-86.655742
147362,2013-01-30,ANTIOCH,TN,36.030875,-86.58711
195000,2013-01-04,NASHVILLE,TN,36.171279,-86.793922
15000,2013-02-05,NASHVILLE,TN,36.147493,-86.76125
47500,2013-02-12,NASHVILLE,TN,36.146114,-86.760438
212000,2013-02-08,NASHVILLE,TN,36.136116,-86.771395
220000,2013-02-19,NASHVILLE,TN,36.135053,-86.769158
133450,2013-02-13,NASHVILLE,TN,36.128507,-86.732344
216000,2013-02-28,NASHVILLE,TN,36.110888,-86.733157
85000,2013-02-07,NASHVILLE,TN,36.105322,-86.744885
164900,2013-02-13,NASHVILLE,TN,36.107767,-86.734662
125000,2013-02-25,NASHVILLE,TN,36.104828,-86.738903
165102,2013-02-08,NASHVILLE,TN,36.104823,-86.738847
58000,2013-02-15,NASHVILLE,TN,36.103891,-86.738908
129900,2013-02-15,NASHVILLE,TN,36.104981,-86.726968
82000,2013-02-15,NASHVILLE,TN,36.098158,-86.728488
